Name of Indoor Plant,Soil Moisture,Watering Date Range,Temperature,Humidity,Light Exposure,Pot Size (Suggestion),Water Amount,Soil Type,Fertilizer Type,needs_watering
Areca Palm,"Keep evenly moist, not soggy",Every 7-14 days,18-27°C (65-80°F),"High (50%+), mist often","Bright, indirect light",Slightly larger than root ball,Water thoroughly until it drains,Peat-based potting mix,"Balanced liquid, monthly (spring-summer)",0
Snake Plant,Let soil dry completely between waterings,Every 2-4 weeks,18-32°C (65-90°F),Low tolerance,Low to bright indirect light,Sturdy pot to prevent tipping,"Water sparingly, avoid overwatering",Cactus/succulent mix,"All-purpose, once a month (spring-summer)",1
Peace Lily,Keep soil consistently moist,Every 7 days or when leaves droop,18-29°C (65-85°F),"High, misting beneficial",Low to medium indirect light,1-2 inches larger than root ball,Water thoroughly until it drains,Standard potting mix,"Balanced liquid, monthly (spring-summer)",1
Money Plant (Pothos),Allow top inch or two to dry,Every 7-14 days,16-29°C (60-85°F),Medium to high,Low to medium indirect light,Can be slightly root-bound,Water thoroughly,Standard potting mix,"Balanced liquid, monthly (spring-summer)",0
Aloe Vera,Allow soil to dry completely,Every 2-3 weeks,13-27°C (55-80°F),Low,"Bright, indirect light",Clay pot with drainage,"Water deeply, but infrequently",Cactus/succulent mix,"Succulent food, once (spring)",0
Spider Plant,Keep soil evenly moist,Every 7-10 days,18-24°C (65-75°F),Medium,"Bright, indirect light",Standard pot with drainage,Water thoroughly,Standard potting mix,"Balanced liquid, monthly (spring-summer)",0
Rubber Plant,Allow top few inches of soil to dry,Every 1-2 weeks,18-29°C (65-85°F),Medium to high,"Bright, indirect light",1-2 inches larger than root ball,Water thoroughly,Well-draining potting mix,"All-purpose liquid, monthly (spring-summer)",0
Dumb Cane (Dieffenbachia),Keep soil consistently moist,Every 7-10 days,18-27°C (65-80°F),High,"Bright, indirect light",Standard pot,Water thoroughly,"Rich, well-draining soil","Balanced liquid, monthly (spring-summer)",1
Lucky Bamboo,Keep roots submerged in water,N/A (change water weekly),18-35°C (65-95°F),Medium to high,Low to medium indirect light,Vase or pot with no soil,N/A (just water),N/A (hydroponic),N/A (or use specific liquid fertilizer),1
Philodendron,Keep soil evenly moist,Every 7-14 days,18-24°C (65-75°F),Medium to high,Low to medium indirect light,Standard pot with drainage,Water thoroughly,Standard potting mix,"All-purpose, monthly (spring-summer)",1
Anthurium,Keep soil slightly damp,Every 7-10 days,21-32°C (70-90°F),"High, misting beneficial","Bright, indirect light",Standard pot,Water thoroughly,"Coarse, well-draining mix","Balanced liquid, monthly (spring-summer)",0
Croton,Keep soil consistently moist,Every 7-10 days,18-27°C (65-80°F),High,"Bright, direct light is best for color",Standard pot,Water thoroughly,Well-draining potting mix,"Slow-release, spring/summer",1
Boston Fern,Keep soil evenly moist,Every 2-3 days,18-24°C (65-75°F),"High, mist daily","Bright, indirect light",Hanging basket or large pot,Water thoroughly,Peat-based mix,"Balanced liquid, monthly (spring-fall)",1
ZZ Plant,Allow soil to dry out completely,Every 2-4 weeks,18-32°C (65-90°F),Low,Low to medium indirect light,Standard pot with drainage,Water sparingly,Cactus/succulent mix,"All-purpose liquid, once or twice (summer)",0
Bird’s Nest Fern,Keep soil consistently moist,Every 7 days,18-27°C (65-80°F),"High, mist often",Low to medium indirect light,"Shallow, wide pot","Water thoroughly, avoid the rosette",Peat-based mix,"Balanced liquid, monthly (spring-summer)",0
Calathea,Keep soil evenly moist,Every 7-10 days,18-24°C (65-75°F),"High (60%+), group plants","Medium, indirect light",Standard pot,Water with distilled or rain water,Peat-based mix,"Balanced liquid, monthly (spring-summer)",0
Aglaonema,Keep soil moist but not soggy,Every 1-2 weeks,18-24°C (65-75°F),Medium to high,Low to medium indirect light,Standard pot,Water thoroughly,Well-draining potting mix,"Balanced liquid, monthly (spring-summer)",0
Kalanchoe,Allow soil to dry completely,Every 2-3 weeks,18-24°C (65-75°F),Low,"Bright, indirect to direct light",Standard pot,"Water thoroughly, but sparingly",Cactus/succulent mix,"Balanced liquid, monthly (spring-summer)",0
Rex Begonia,Keep soil lightly moist,Every 7 days,18-24°C (65-75°F),Medium to high,"Bright, indirect light",Standard pot,Water from the bottom,Standard potting mix,"Balanced liquid, every 2 weeks (spring-summer)",0
Wax Begonia,Keep soil evenly moist,Every 7-10 days,18-24°C (65-75°F),Medium,"Bright, indirect light",Standard pot,Water thoroughly,Standard potting mix,"Balanced liquid, every 2 weeks (spring-summer)",0
Oxalis,"Keep soil moist, but not soggy",Every 7 days,16-24°C (60-75°F),Medium,"Bright, indirect to partial sun",Standard pot,Water thoroughly,Standard potting mix,"Balanced liquid, monthly (spring-summer)",1
Fiddle Leaf Fig,Allow top 2-3 inches of soil to dry,Every 7-10 days,18-27°C (65-80°F),High,"Bright, indirect to filtered light",2-3 inches larger than root ball,Water thoroughly,Well-draining potting mix,"All-purpose liquid, monthly (spring-summer)",0
Jade Plant,Let soil dry out completely,Every 2-3 weeks,18-24°C (65-75°F),Low,"Bright, indirect light",Standard pot,Water sparingly,Cactus/succulent mix,"Succulent food, once or twice (spring-summer)",0
Arrowhead Plant,Keep soil evenly moist,Every 7-10 days,18-29°C (65-85°F),"High, misting beneficial",Low to medium indirect light,Standard pot,Water thoroughly,Standard potting mix,"All-purpose, monthly (spring-summer)",0
Dracaena Marginata,Allow top half of soil to dry,Every 1-2 weeks,21-29°C (70-85°F),Low to medium,"Bright, indirect light",Standard pot,Water thoroughly,Well-draining potting mix,"Balanced liquid, monthly (spring-summer)",0
Bamboo Palm,Keep soil evenly moist,Every 7-10 days,18-24°C (65-75°F),High,Low to medium indirect light,Large pot with drainage,Water thoroughly,Peat-based mix,"Balanced liquid, monthly (spring-summer)",1
Dwarf Banana,Keep soil consistently moist,Every 2-4 days,24-32°C (75-90°F),High,"Bright, direct light",Large pot,Water thoroughly,"Rich, loamy soil","High-potassium liquid, weekly (spring-summer)",0
Alocasia,Keep soil evenly moist,Every 7 days,18-27°C (65-80°F),"High, mist often","Bright, indirect light",Standard pot,Water thoroughly,Well-draining potting mix,"Balanced liquid, monthly (spring-summer)",0
Monstera Deliciosa,Allow top 2-3 inches of soil to dry,Every 7-14 days,18-29°C (65-85°F),"High, mist often","Bright, indirect light",Large pot with a moss pole,Water thoroughly,"Chunky, well-draining aroid mix","Balanced liquid, monthly (spring-summer)",0
Monstera Adansonii,Allow top inch of soil to dry,Every 7-10 days,18-27°C (65-80°F),High,"Bright, indirect light",Standard pot,Water thoroughly,"Chunky, well-draining aroid mix","Balanced liquid, monthly (spring-summer)",0
Prayer Plant (Maranta),Keep soil consistently moist,Every 7 days,18-27°C (65-80°F),"High (60%+), group plants","Medium, indirect light",Standard pot,Water with distilled or rainwater,Peat-based potting mix,"Balanced liquid, monthly (spring-summer)",1
Umbrella Plant,Keep soil evenly moist,Every 7-10 days,18-24°C (65-75°F),Medium,"Bright, indirect light",Standard pot,Water thoroughly,Well-draining potting mix,"Balanced liquid, monthly (spring-summer)",0
Philodendron Brasil,Allow top inch or two to dry,Every 7-14 days,16-29°C (60-85°F),Medium to high,"Medium, indirect light",Can be slightly root-bound,Water thoroughly,Standard potting mix,"Balanced liquid, monthly (spring-summer)",0
Caladium,Keep soil consistently moist,Every 2-4 days,21-32°C (70-90°F),High,Low to medium indirect light,Standard pot,Water thoroughly,"Well-draining, rich soil","Balanced liquid, every 2 weeks (spring-summer)",1
Tradescantia Zebrina,Keep soil slightly moist,Every 7-10 days,18-24°C (65-75°F),Medium,"Bright, indirect light",Standard pot,Water thoroughly,Well-draining potting mix,"Balanced liquid, monthly (spring-summer)",1
Purple Heart,Allow soil to dry out between waterings,Every 1-2 weeks,18-29°C (65-85°F),Low,"Bright, indirect to full sun",Standard pot,Water thoroughly,Well-draining potting mix,"All-purpose, monthly (spring-summer)",1
Cactus,Allow soil to dry completely,Every 3-4 weeks (less in winter),18-35°C (65-95°F),Low,"Bright, direct sunlight","Small, shallow pot",Water sparingly but deeply,Cactus/succulent mix,"Low-nitrogen fertilizer, once (spring)",0
Succulents,Allow soil to dry completely,Every 2-4 weeks (less in winter),18-32°C (65-90°F),Low,"Bright, indirect to direct light","Small, shallow pot",Water sparingly but deeply,Cactus/succulent mix,"Succulent food, once or twice (spring)",0
Phalaenopsis Orchid,Allow medium to dry completely,Every 7-14 days,18-29°C (65-85°F),Medium to high,"Medium, indirect light",Orchid pot with good airflow,"Water thoroughly, let it drain",Orchid bark or sphagnum moss,"Balanced orchid fertilizer, bi-weekly",1
Dendrobium Orchid,Let medium dry between waterings,Every 7-10 days,18-29°C (65-85°F),Medium to high,"Bright, indirect light",Orchid pot,Water thoroughly,Orchid bark,"Balanced orchid fertilizer, monthly",0
Vanda Orchid,"Water daily, soak roots in water",Daily,21-35°C (70-95°F),High,"Bright, direct light","Hanging basket, no pot",Water by soaking roots,N/A (hydroponic/air plant),"Balanced orchid fertilizer, weekly",0
Bromeliads,Keep cup at center of plant full of water,Change water every 1-2 weeks,18-27°C (65-80°F),Medium to high,"Medium to bright, indirect light",Standard pot,N/A (water in cup),Well-draining mix,Spray weak liquid fertilizer on leaves,0
Mini Rose,Keep soil consistently moist,Every 1-3 days,18-24°C (65-75°F),Medium to high,"Bright, direct sunlight",Standard pot,Water thoroughly,Standard potting mix,"Rose food, every 2 weeks",0
Geranium,Allow soil to dry between waterings,Every 7-10 days,18-24°C (65-75°F),Low to medium,"Bright, direct sunlight",Standard pot with drainage,Water thoroughly,Well-draining potting mix,"Balanced liquid, monthly",1
English Ivy,Keep soil evenly moist,Every 7-10 days,18-24°C (65-75°F),Medium to high,Low to medium indirect light,Standard pot,Water thoroughly,Well-draining potting mix,"Balanced liquid, monthly (spring-summer)",0
Creeping Fig,Keep soil consistently moist,Every 2-4 days,18-24°C (65-75°F),High,"Bright, indirect light",Standard pot,Water thoroughly,"Rich, well-draining soil","Balanced liquid, monthly (spring-summer)",1
Money Tree,Allow top 2-4 inches of soil to dry,Every 1-2 weeks,18-24°C (65-75°F),Medium,"Bright, indirect light",Standard pot,Water thoroughly,Well-draining potting mix,"Balanced liquid, monthly (spring-summer)",0
Norfolk Island Pine,Keep soil evenly moist,Every 7-10 days,18-24°C (65-75°F),High,"Bright, indirect light",Standard pot,Water thoroughly,Peat-based potting mix,"Balanced liquid, monthly (spring-summer)",0
Dwarf Ixora,Keep soil consistently moist,Every 7-10 days,18-32°C (65-90°F),High,"Bright, indirect to direct light",Standard pot,Water thoroughly,"Well-draining, acidic soil","Balanced liquid, monthly (spring-summer)",0
Bonsai Ficus,Keep soil evenly moist,Every 2-3 days,18-27°C (65-80°F),High,"Bright, indirect light",Shallow bonsai pot,Water thoroughly,Bonsai soil mix,"Balanced bonsai fertilizer, weekly",0
Bonsai Schefflera,Keep soil slightly moist,Every 7 days,18-24°C (65-75°F),Medium,"Bright, indirect light",Shallow bonsai pot,Water thoroughly,Bonsai soil mix,"Balanced bonsai fertilizer, weekly",1
Bonsai Jade,Allow soil to dry completely,Every 2-3 weeks,18-24°C (65-75°F),Low,"Bright, indirect to direct light",Shallow bonsai pot,Water sparingly,Cactus/succulent mix,"Succulent food, monthly (spring-summer)",1
Yucca,Allow soil to dry completely,Every 3-4 weeks,18-29°C (65-85°F),Low,"Bright, direct sunlight","Heavy, sturdy pot",Water deeply but infrequently,Cactus/succulent mix,"All-purpose liquid, once (spring)",1
Haworthia,Allow soil to dry completely,Every 2-3 weeks,18-29°C (65-85°F),Low,"Bright, indirect light",Small pot with drainage,Water sparingly,Cactus/succulent mix,"Succulent food, once or twice (spring-summer)",1
Echeveria,Allow soil to dry completely,Every 2-4 weeks,18-27°C (65-80°F),Low,"Bright, direct sunlight","Small, shallow pot",Water sparingly but deeply,Cactus/succulent mix,"Succulent food, once (spring)",0
Peperomia Obtusifolia,Allow top inch of soil to dry,Every 7-10 days,18-24°C (65-75°F),Medium,"Medium, indirect light",Standard pot,Water thoroughly,Peat-based potting mix,"Balanced liquid, monthly (spring-summer)",1
Peperomia Rosso,Allow top inch of soil to dry,Every 7-10 days,18-24°C (65-75°F),Medium to high,"Medium to bright, indirect light",Standard pot,Water thoroughly,Peat-based potting mix,"Balanced liquid, monthly (spring-summer)",0
Lipstick Plant,Keep soil evenly moist,Every 7-10 days,18-27°C (65-80°F),"High, misting beneficial","Bright, indirect light",Hanging basket,Water thoroughly,Peat-based mix,"Balanced liquid, monthly (spring-summer)",0
Hoya,Allow soil to dry completely,Every 2-3 weeks,18-24°C (65-75°F),Medium,"Medium to bright, indirect light",Standard pot,Water thoroughly,Well-draining potting mix,"Balanced liquid, monthly (spring-summer)",0
Rhipsalis,Allow top inch of soil to dry,Every 1-2 weeks,18-24°C (65-75°F),Medium to high,Low to medium indirect light,Hanging basket,Water thoroughly,Cactus/succulent mix,"Balanced liquid, monthly (spring-summer)",0
String of Pearls,Allow soil to dry out completely,Every 2-4 weeks,18-24°C (65-75°F),Low to medium,"Bright, indirect light",Hanging basket,Water sparingly,Cactus/succulent mix,"Succulent food, once (spring)",0
String of Hearts,Allow soil to dry out completely,Every 2-4 weeks,18-24°C (65-75°F),Low,"Bright, indirect light",Hanging basket,Water sparingly,Cactus/succulent mix,"Succulent food, once (spring)",0
Tillandsia (Air Plant),N/A (soak or mist),"Soak for 30 min weekly, mist 2-3 times/week",18-32°C (65-90°F),High,"Bright, indirect light",N/A (on a stand or branch),Soak or mist thoroughly,,"Air plant fertilizer, monthly",1
Elephant Bush,Allow soil to dry completely,Every 2-4 weeks,18-29°C (65-85°F),Low,"Bright, direct sunlight",Standard pot,Water sparingly,Cactus/succulent mix,"Succulent food, once (spring)",0
Euphorbia Milii,Allow soil to dry completely,Every 2-4 weeks,18-29°C (65-85°F),Low,"Bright, direct sunlight",Standard pot,Water sparingly,Cactus/succulent mix,"Balanced liquid, monthly (spring-summer)",0
Adenium,Allow soil to dry completely,Every 2-4 weeks,18-35°C (65-95°F),Low,"Bright, direct sunlight",Standard pot,Water sparingly,Cactus/succulent mix,"Balanced liquid, monthly (spring-summer)",0
Ponytail Palm,Allow soil to dry completely,Every 3-4 weeks,18-29°C (65-85°F),Low,"Bright, direct sunlight","Wide, shallow pot",Water sparingly but deeply,Cactus/succulent mix,"Balanced liquid, once (spring)",0
Chrysanthemum,Keep soil consistently moist,Every 1-2 days,18-24°C (65-75°F),Medium,"Bright, indirect light",Standard pot,Water thoroughly,Standard potting mix,"Balanced liquid, bi-weekly",1
Amaryllis,Keep soil consistently moist,Every 2-3 days,18-24°C (65-75°F),Medium,"Bright, indirect to direct light",Pot just larger than bulb,Water thoroughly,Standard potting mix,"Balanced liquid, weekly",0
Spathiphyllum Domino,Keep soil consistently moist,Every 7 days or when leaves droop,18-29°C (65-85°F),High,Low to medium indirect light,Standard pot,Water thoroughly,Standard potting mix,"Balanced liquid, monthly (spring-summer)",1
Snake Plant Laurentii,Let soil dry completely,Every 2-4 weeks,18-32°C (65-90°F),Low,Medium to bright indirect light,Sturdy pot,Water sparingly,Cactus/succulent mix,"All-purpose, monthly (spring-summer)",1
Snake Plant Cylindrica,Let soil dry completely,Every 2-4 weeks,18-32°C (65-90°F),Low,Medium to bright indirect light,Sturdy pot,Water sparingly,Cactus/succulent mix,"All-purpose, monthly (spring-summer)",0
Snake Plant Hahnii,Let soil dry completely,Every 2-4 weeks,18-32°C (65-90°F),Low,Low to medium indirect light,Sturdy pot,Water sparingly,Cactus/succulent mix,"All-purpose, monthly (spring-summer)",0
Dieffenbachia Tropic Snow,Keep soil consistently moist,Every 7-10 days,18-27°C (65-80°F),High,"Bright, indirect light",Standard pot,Water thoroughly,"Rich, well-draining soil","Balanced liquid, monthly (spring-summer)",1
Philodendron Xanadu,Allow top inch of soil to dry,Every 7-10 days,18-29°C (65-85°F),High,"Bright, indirect light",Standard pot,Water thoroughly,"Chunky, well-draining aroid mix","Balanced liquid, monthly (spring-summer)",1
Philodendron Birkin,Allow top inch of soil to dry,Every 7-10 days,18-27°C (65-80°F),Medium to high,"Medium to bright, indirect light",Standard pot,Water thoroughly,Well-draining potting mix,"Balanced liquid, monthly (spring-summer)",1
Alocasia Polly,Keep soil evenly moist,Every 7 days,18-27°C (65-80°F),High,"Bright, indirect light",Standard pot,Water thoroughly,Well-draining potting mix,"Balanced liquid, monthly (spring-summer)",1
Colocasia Black Magic,"Keep soil consistently moist, never dry",Every 2-3 days,21-32°C (70-90°F),High (70%+),"Bright, indirect to direct sun",Large pot,Water thoroughly,"Rich, wet soil","High-nitrogen liquid, bi-weekly (spring-summer)",0
Aglaonema Silver Bay,Keep soil moist but not soggy,Every 1-2 weeks,18-24°C (65-75°F),Medium to high,Low to medium indirect light,Standard pot,Water thoroughly,Well-draining potting mix,"Balanced liquid, monthly (spring-summer)",0
Aglaonema Red Siam,Keep soil moist but not soggy,Every 1-2 weeks,18-24°C (65-75°F),Medium to high,"Medium to bright, indirect light",Standard pot,Water thoroughly,Well-draining potting mix,"Balanced liquid, monthly (spring-summer)",0
Aglaonema Cutlass,Keep soil moist but not soggy,Every 1-2 weeks,18-24°C (65-75°F),Medium to high,Low to medium indirect light,Standard pot,Water thoroughly,Well-draining potting mix,"Balanced liquid, monthly (spring-summer)",1
Philodendron Micans,Allow top inch of soil to dry,Every 7-10 days,18-27°C (65-80°F),High,"Medium, indirect light",Standard pot,Water thoroughly,"Chunky, well-draining aroid mix","Balanced liquid, monthly (spring-summer)",1
Philodendron Gloriosum,Allow top inch of soil to dry,Every 7-10 days,18-27°C (65-80°F),High,"Medium to bright, indirect light","Wide, shallow pot",Water thoroughly,"Chunky, well-draining aroid mix","Balanced liquid, monthly (spring-summer)",0
Philodendron Pink Princess,Allow top inch of soil to dry,Every 7-10 days,18-27°C (65-80°F),Medium to high,"Bright, indirect light",Standard pot,Water thoroughly,Well-draining potting mix,"Balanced liquid, monthly (spring-summer)",0
Syngonium Neon,Keep soil evenly moist,Every 7-10 days,18-29°C (65-85°F),High,"Medium to bright, indirect light",Standard pot,Water thoroughly,Well-draining potting mix,"Balanced liquid, monthly (spring-summer)",0
Syngonium Albo Variegata,Keep soil evenly moist,Every 7-10 days,18-29°C (65-85°F),High,"Bright, indirect light",Standard pot,Water thoroughly,Well-draining potting mix,"Balanced liquid, monthly (spring-summer)",0
Stromanthe Triostar,Keep soil consistently moist,Every 7-10 days,18-24°C (65-75°F),High (60%+),"Medium, indirect light",Standard pot,Water with distilled or rain water,Peat-based mix,"Balanced liquid, monthly (spring-summer)",1
Ctenanthe Setosa,Keep soil consistently moist,Every 7-10 days,18-24°C (65-75°F),High,Low to medium indirect light,Standard pot,Water with distilled or rain water,Peat-based potting mix,"Balanced liquid, monthly (spring-summer)",1
Calathea Medallion,Keep soil evenly moist,Every 7-10 days,18-24°C (65-75°F),High (60%+),"Medium, indirect light",Standard pot,Water with distilled or rain water,Peat-based mix,"Balanced liquid, monthly (spring-summer)",1
Calathea Makoyana,Keep soil evenly moist,Every 7-10 days,18-24°C (65-75°F),High (60%+),"Medium, indirect light",Standard pot,Water with distilled or rain water,Peat-based mix,"Balanced liquid, monthly (spring-summer)",0
Calathea Lancifolia,Keep soil evenly moist,Every 7-10 days,18-24°C (65-75°F),High (60%+),"Medium, indirect light",Standard pot,Water with distilled or rain water,Peat-based mix,"Balanced liquid, monthly (spring-summer)",0
Anthurium Crystallinum,Keep soil slightly damp,Every 7-10 days,18-27°C (65-80°F),"High, misting beneficial","Bright, indirect light",Standard pot,Water thoroughly,"Coarse, well-draining aroid mix","Balanced liquid, monthly (spring-summer)",1
Anthurium Clarinervium,Keep soil slightly damp,Every 7-10 days,18-27°C (65-80°F),"High, misting beneficial","Bright, indirect light",Standard pot,Water thoroughly,"Coarse, well-draining aroid mix","Balanced liquid, monthly (spring-summer)",1
Aspidistra (Cast Iron Plant),Allow soil to dry slightly,Every 1-2 weeks,13-29°C (55-85°F),Low to medium,"Low, indirect light",Standard pot,Water thoroughly,Standard potting mix,"All-purpose liquid, once or twice (spring-summer)",0
Clivia Miniata,"Keep soil moist during growth, dry in winter",Every 7-14 days,16-24°C (60-75°F),Low to medium,"Medium to bright, indirect light",Slightly root-bound,Water thoroughly,Well-draining potting mix,"Balanced liquid, bi-weekly (spring-summer)",1
Dracaena Compacta,Allow top half of soil to dry,Every 1-2 weeks,18-29°C (65-85°F),Low to medium,Low to medium indirect light,Standard pot,Water thoroughly,Well-draining potting mix,"Balanced liquid, monthly (spring-summer)",0
Dracaena Lemon Lime,Allow top half of soil to dry,Every 1-2 weeks,18-29°C (65-85°F),Low to medium,"Medium to bright, indirect light",Standard pot,Water thoroughly,Well-draining potting mix,"Balanced liquid, monthly (spring-summer)",0
Dracaena Warneckii,Allow top half of soil to dry,Every 1-2 weeks,18-29°C (65-85°F),Low to medium,"Medium to bright, indirect light",Standard pot,Water thoroughly,Well-draining potting mix,"Balanced liquid, monthly (spring-summer)",0
